numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
3;auspol2019;Chaining_user_screen_name;120000;18858
3;auspol2019;ClosedLinear_user_id;120000;16365
3;auspol2019;ClosedLinear_user_screen_name;120000;15939
3;auspol2019;ClosedQuadratic_user_id;120000;18108
3;auspol2019;ClosedQuadratic_user_screen_name;120000;16606
3;auspol2019;ClosedDoubleHashing_user_id;120000;26353
3;auspol2019;ClosedDoubleHashing_user_screen_name;120000;26503
3;auspol2019;STLUnorderedMap_user_id;120000;17185
3;auspol2019;STLUnorderedMap_user_screen_name;120000;16392
3;auspol2019;Chaining_user_id;130000;21041
3;auspol2019;Chaining_user_screen_name;130000;19904
